model_key,model_name,item_id,question,raw_output,correct,reason,latency_ms,input_tokens,output_tokens
open,mistral:latest,item_001,List the names of all artists whose name starts with 'The'., SELECT Name FROM Artist WHERE Name LIKE 'The%';,True,match,11007.7,1806,14
open,mistral:latest,item_002,What is the email address of the customer named Luís Gonçalves?, SELECT Email FROM Customer WHERE FirstName = 'Luís' AND LastName = 'Gonçalves';,True,match,3000.6,1809,25
open,mistral:latest,item_003,List all track names that are longer than 300000 milliseconds., SELECT Name FROM Track WHERE Milliseconds > 300000;,True,match,2894.3,1811,18
open,mistral:latest,item_004,Which employees have the job title 'Sales Support Agent'?," SELECT Employee.EmployeeId, Employee.FirstName, Employee.LastName FROM Employee WHERE Title = 'Sales Support Agent';",False,wrong_result,3352.3,1806,33
open,mistral:latest,item_005,List all customers who live in Brazil.," SELECT [CustomerId], [FirstName], [LastName] FROM [Customer] WHERE [Country] = 'Brazil';",False,wrong_result,3151.4,1801,29
open,mistral:latest,item_006,What are the names of all genres?, SELECT Name FROM Genre;,True,match,2558.3,1802,8
open,mistral:latest,item_007,List all playlists that have 'Music' in their name., SELECT PlaylistId FROM Playlist WHERE Name LIKE '%Music%';,False,wrong_result,2705.4,1806,17
open,mistral:latest,item_008,Find the track named 'Balls to the Wall'., SELECT TrackId FROM Track WHERE Name = 'Balls to the Wall';,False,wrong_result,2803.6,1804,17
open,mistral:latest,item_009,List customers from the state of California (CA).," SELECT [CustomerId], [FirstName], [LastName], [Company], [City], [State], [Country], [PostalCode], [Email], [Phone], [Fax] FROM [Customer] WHERE [State] = 'CA';",False,wrong_result,3835.5,1803,54
open,mistral:latest,item_010,What is the postal code of the employee named Andrew Adams?, SELECT [Email].[PostalCode] FROM [Employee] INNER JOIN [Customer] ON [Employee].[EmployeeId] = [Customer].[SupportRepId] INNER JOIN [Employee] AS [Email] ON [Employee].[ReportsTo] = [Email].[EmployeeId] WHERE [Employee].[FirstName] = 'Andrew' AND [Employee].[LastName] = 'Adams';,False,wrong_result,5304.1,1806,101
open,mistral:latest,item_011,How many tracks are there in total?, SELECT COUNT(*) FROM Track;,True,match,2571.1,1801,10
open,mistral:latest,item_012,How many customers are there from Germany?, SELECT COUNT(*) FROM Customer WHERE Country = 'Germany';,True,match,2942.6,1801,17
open,mistral:latest,item_013,What is the total number of invoices?, SELECT COUNT(*) FROM Invoice;,True,match,2752.4,1803,11
open,mistral:latest,item_014,What is the average unit price of a track?, SELECT AVG(Track.UnitPrice) FROM Track;,True,match,2707.4,1803,14
open,mistral:latest,item_015,What is the total sum of all invoice totals?, SELECT SUM(Total) FROM Invoice;,True,match,2680.8,1805,12
open,mistral:latest,item_016,How many distinct countries do customers come from?, SELECT DISTINCT Country FROM Customer;,False,wrong_result,2633.6,1802,11
open,mistral:latest,item_017,How many albums does the artist with ArtistId 1 have?, SELECT COUNT(*) FROM Album WHERE ArtistId = 1;,True,match,2802.2,1806,16
open,mistral:latest,item_018,What is the longest track duration in milliseconds?, SELECT MAX(Milliseconds) FROM Track;,True,match,2771.9,1803,11
open,mistral:latest,item_019,"What is the shortest track duration in milliseconds, excluding zero?", SELECT MIN(Milliseconds) FROM Track WHERE Milliseconds > 0;,True,match,2980.0,1808,17
open,mistral:latest,item_020,How many tracks belong to the genre 'Rock'?, SELECT COUNT(*) FROM Track INNER JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Rock';,True,match,3429.8,1805,38
open,mistral:latest,item_021,List the names of all albums by the artist 'AC/DC'., SELECT Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'AC/DC';,True,match,3352.8,1807,31
open,mistral:latest,item_022,List the track names on the album 'Facelift'., SELECT Name FROM Track INNER JOIN Album ON Track.AlbumId = Album.AlbumId WHERE Album.Title = 'Facelift';,True,match,3360.1,1805,33
open,mistral:latest,item_023,Which genre does the track 'Fast As a Shark' belong to?, SELECT GenreId FROM Track WHERE Name = 'Fast As a Shark';,False,wrong_result,2909.7,1808,18
open,mistral:latest,item_024,List the first and last names of customers along with the city of their support representative.," SELECT Customer.FirstName, Customer.LastName, Employee.City
   FROM Customer
   JOIN Employee ON Customer.SupportRepId = Employee.EmployeeId;",True,match,3564.2,1810,41
open,mistral:latest,item_025,List all track names along with their media type name.," SELECT Track.Name, MediaType.Name FROM Track
   INNER JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId;",False,wrong_result,3355.2,1804,35
open,mistral:latest,item_026,List the names of tracks in the playlist called 'Music'., SELECT Track.Name FROM Track INNER JOIN PlaylistTrack ON Track.TrackId = PlaylistTrack.TrackId INNER JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE Playlist.Name = 'Music';,False,wrong_result,4241.5,1806,57
open,mistral:latest,item_027,What is the total amount billed to each customer named 'Frank Harris'?," SELECT CustomerId, SUM(Invoice.Total) as TotalBilled
   FROM Customer
   JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId
   WHERE Customer.FirstName = 'Frank' AND Customer.LastName = 'Harris'
   GROUP BY CustomerId;",False,execution_error: ambiguous column name: CustomerId,4586.4,1810,71
open,mistral:latest,item_028,List the names of employees and the first names of the employees they report to.," SELECT e1.LastName AS EmployeeName, e2.FirstName AS ReportingEmployeeFirstName
   FROM Employee e1
   JOIN Employee e2 ON e1.ReportsTo = e2.EmployeeId;",False,wrong_result,4398.6,1809,55
open,mistral:latest,item_029,"List all invoice lines for the track named 'Right Next Door to Hell', showing quantity and unit price."," SELECT InvoiceLine.Quantity, InvoiceLine.UnitPrice
   FROM InvoiceLine
   INNER JOIN Track ON InvoiceLine.TrackId = Track.TrackId
   WHERE Track.Name = 'Right Next Door to Hell';",True,match,4531.0,1815,55
open,mistral:latest,item_030,List the album title and artist name for the track 'Go Down'.," SELECT Album.Title, Artist.Name FROM Track
   INNER JOIN Album ON Track.AlbumId = Album.AlbumId
   INNER JOIN Artist ON Album.ArtistId = Artist.ArtistId
   WHERE Track.Name = 'Go Down';",True,match,4779.8,1807,61
open,mistral:latest,item_031,"For each country, how many customers are there? Order by count descending."," SELECT Country, COUNT(CustomerId) as CustomerCount FROM Customer
   INNER JOIN Employee ON Customer.SupportRepId = Employee.EmployeeId
   INNER JOIN [Address] ON Customer.Address = [Address].Address
   GROUP BY Country
   ORDER BY CustomerCount DESC;",False,execution_error: no such table: Address,4610.8,1809,72
